date,source,package,daily_downloads,weekly_downloads
2025-06-05,npm,@microsoft/winappcli,0,0
2025-06-06,npm,@microsoft/winappcli,0,0
2025-06-07,npm,@microsoft/winappcli,0,0
2025-06-08,npm,@microsoft/winappcli,0,0
2025-06-09,npm,@microsoft/winappcli,0,0
2025-06-10,npm,@microsoft/winappcli,0,0
2025-06-11,npm,@microsoft/winappcli,0,0
2025-06-12,npm,@microsoft/winappcli,0,0
2025-06-13,npm,@microsoft/winappcli,0,0
2025-06-14,npm,@microsoft/winappcli,0,0
2025-06-15,npm,@microsoft/winappcli,0,0
2025-06-16,npm,@microsoft/winappcli,0,0
2025-06-17,npm,@microsoft/winappcli,0,0
2025-06-18,npm,@microsoft/winappcli,0,0
2025-06-19,npm,@microsoft/winappcli,0,0
2025-06-20,npm,@microsoft/winappcli,0,0
2025-06-21,npm,@microsoft/winappcli,0,0
2025-06-22,npm,@microsoft/winappcli,0,0
2025-06-23,npm,@microsoft/winappcli,0,0
2025-06-24,npm,@microsoft/winappcli,0,0
2025-06-25,npm,@microsoft/winappcli,0,0
2025-06-26,npm,@microsoft/winappcli,0,0
2025-06-27,npm,@microsoft/winappcli,0,0
2025-06-28,npm,@microsoft/winappcli,0,0
2025-06-29,npm,@microsoft/winappcli,0,0
2025-06-30,npm,@microsoft/winappcli,0,0
2025-07-01,npm,@microsoft/winappcli,0,0
2025-07-02,npm,@microsoft/winappcli,0,0
2025-07-03,npm,@microsoft/winappcli,0,0
2025-07-04,npm,@microsoft/winappcli,0,0
2025-07-05,npm,@microsoft/winappcli,0,0
2025-07-06,npm,@microsoft/winappcli,0,0
2025-07-07,npm,@microsoft/winappcli,0,0
2025-07-08,npm,@microsoft/winappcli,0,0
2025-07-09,npm,@microsoft/winappcli,0,0
2025-07-10,npm,@microsoft/winappcli,0,0
2025-07-11,npm,@microsoft/winappcli,0,0
2025-07-12,npm,@microsoft/winappcli,0,0
2025-07-13,npm,@microsoft/winappcli,0,0
2025-07-14,npm,@microsoft/winappcli,0,0
2025-07-15,npm,@microsoft/winappcli,0,0
2025-07-16,npm,@microsoft/winappcli,0,0
2025-07-17,npm,@microsoft/winappcli,0,0
2025-07-18,npm,@microsoft/winappcli,0,0
2025-07-19,npm,@microsoft/winappcli,0,0
2025-07-20,npm,@microsoft/winappcli,0,0
2025-07-21,npm,@microsoft/winappcli,0,0
2025-07-22,npm,@microsoft/winappcli,0,0
2025-07-23,npm,@microsoft/winappcli,0,0
2025-07-24,npm,@microsoft/winappcli,0,0
2025-07-25,npm,@microsoft/winappcli,0,0
2025-07-26,npm,@microsoft/winappcli,0,0
2025-07-27,npm,@microsoft/winappcli,0,0
2025-07-28,npm,@microsoft/winappcli,0,0
2025-07-29,npm,@microsoft/winappcli,0,0
2025-07-30,npm,@microsoft/winappcli,0,0
2025-07-31,npm,@microsoft/winappcli,0,0
2025-08-01,npm,@microsoft/winappcli,0,0
2025-08-02,npm,@microsoft/winappcli,0,0
2025-08-03,npm,@microsoft/winappcli,0,0
2025-08-04,npm,@microsoft/winappcli,0,0
